careunit,n_rows,n_admissions,median_hours,pct_under_4h,level_v1,tier_v1,ics_level_primary,ics_level_name,ics_level_alt,ladder_rung,in_ladder,exclude_admission,is_procedural,mapping_basis,ics_clause,contestable,note
Cardiology Surgery Intermediate,10415,7320,62.67,12.58,3,Intermediate/HDU,1.0,Level 1 - Enhanced Care,2.0,1.0,Y,N,N,"US intermediate/step-down: closer observation, basic single-organ support","""more detailed observations or interventions, including basic support for a single organ system and those stepping down from higher levels of care"" (ICS 2021, Level 1 Enhanced Care)",Y,US step-down straddles ICS Level 1 (Enhanced) and Level 2. Primary=1 per the ICS Level 1 clause on single-organ basic support and step-down. Choosing 2 instead does NOT change ladder order (see rationale doc).
Neuro Intermediate,8834,5762,41.53,13.44,3,Intermediate/HDU,1.0,Level 1 - Enhanced Care,2.0,1.0,Y,N,N,"US intermediate/step-down: closer observation, basic single-organ support","""more detailed observations or interventions, including basic support for a single organ system and those stepping down from higher levels of care"" (ICS 2021, Level 1 Enhanced Care)",Y,US step-down straddles ICS Level 1 (Enhanced) and Level 2. Primary=1 per the ICS Level 1 clause on single-organ basic support and step-down. Choosing 2 instead does NOT change ladder order (see rationale doc).
Surgery/Vascular/Intermediate,7515,5599,54.52,13.19,3,Intermediate/HDU,1.0,Level 1 - Enhanced Care,2.0,1.0,Y,N,N,"US intermediate/step-down: closer observation, basic single-organ support","""more detailed observations or interventions, including basic support for a single organ system and those stepping down from higher levels of care"" (ICS 2021, Level 1 Enhanced Care)",Y,US step-down straddles ICS Level 1 (Enhanced) and Level 2. Primary=1 per the ICS Level 1 clause on single-organ basic support and step-down. Choosing 2 instead does NOT change ladder order (see rationale doc).
Neuro Stepdown,2016,1432,30.32,14.68,3,Intermediate/HDU,1.0,Level 1 - Enhanced Care,2.0,1.0,Y,N,N,"US intermediate/step-down: closer observation, basic single-organ support","""more detailed observations or interventions, including basic support for a single organ system and those stepping down from higher levels of care"" (ICS 2021, Level 1 Enhanced Care)",Y,US step-down straddles ICS Level 1 (Enhanced) and Level 2. Primary=1 per the ICS Level 1 clause on single-organ basic support and step-down. Choosing 2 instead does NOT change ladder order (see rationale doc).
Surgical Intermediate,1791,1473,49.9,14.07,3,Intermediate/HDU,1.0,Level 1 - Enhanced Care,2.0,1.0,Y,N,N,"US intermediate/step-down: closer observation, basic single-organ support","""more detailed observations or interventions, including basic support for a single organ system and those stepping down from higher levels of care"" (ICS 2021, Level 1 Enhanced Care)",Y,US step-down straddles ICS Level 1 (Enhanced) and Level 2. Primary=1 per the ICS Level 1 clause on single-organ basic support and step-down. Choosing 2 instead does NOT change ladder order (see rationale doc).
Medicine,191862,134836,43.53,19.27,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,
Med/Surg,56907,41033,42.96,19.23,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Medicine/Cardiology,53897,40221,36.88,15.97,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,
Neurology,49749,34290,42.08,14.88,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,
Transplant,37907,24835,47.98,16.6,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Hematology/Oncology,37354,23697,55.18,14.37,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,
Vascular,32546,21812,38.95,15.53,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Med/Surg/GYN,27958,21101,40.39,15.47,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Surgery/Trauma,26379,19596,47.03,16.05,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Med/Surg/Trauma,24544,18678,47.27,14.08,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Surgery,21417,15947,38.57,18.38,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Cardiac Surgery,18003,11611,46.6,11.35,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Medical/Surgical (Gynecology),10214,7695,33.31,16.97,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Surgery/Pancreatic/Biliary/Bariatric,9031,6416,40.54,16.73,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Cardiology,4392,3844,20.45,15.92,2,General ward,0.0,Ward Care,1.0,0.0,Y,N,N,ward-level; possible telemetry unit,"""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",Y,"Median 20.5h short-stay profile. If telemetry-capable, ICS Level 1 is arguable."
Thoracic Surgery,3284,2257,27.12,21.35,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,Surgical specialty != intensity: surgical wards sit at Ward Care with Medicine.
Oncology,789,673,85.1,17.62,2,General ward,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,
Emergency Department,784400,374262,5.34,31.82,1,Entry,,,,,N,N,N,off-ladder,,N,"entry point; ICS levels describe care required, not location - any level may be delivered in ED"
Emergency Department Observation,101347,99850,0.45,80.43,1,Entry,,,,,N,N,N,off-ladder,,N,entry point; 80.4% of rows under 4h - largely transit
Observation,4624,4018,19.6,17.58,1,Entry,0.0,Ward Care,,0.0,Y,N,N,"ward staffing, intermittent observation","""Patients whose needs can be met through normal ward care in an acute hospital"" / ""recently relocated from a higher level of care"" (ICS 2021, Ward Care)",N,
UNKNOWN,546196,546024,31.21,0.01,0,Discharge,,,,,N,N,N,off-ladder,,N,eventtype=discharge terminal row
Discharge Lounge,71241,67063,12.52,26.94,0,Discharge,,,,,N,N,N,off-ladder,,N,"pre-discharge holding, not a care location"
PACU,34958,31384,2.69,61.24,off-ladder,Procedural excursion,1.0,Level 1 - Enhanced Care,2.0,,N,N,Y,Enhanced Perioperative Care / post-anaesthetic recovery,"""more detailed observations or interventions, including basic support for a single organ system and those stepping down from higher levels of care"" (ICS 2021, Level 1 Enhanced Care)",Y,"ICS Level 1 names 'Enhanced Perioperative Care' explicitly. Median 2.69h, 61% under 4h, 87% entered by transfer -> also flagged is_procedural=Y so the ladder can treat it as an event, not a rung."
Labor & Delivery,29003,22011,8.24,20.91,off-ladder,Obstetric pathway,,,,,N,Y,N,off-ladder,,N,obstetric pathway - outside the scope of ICS Adult Critical Care
Obstetrics (Postpartum & Antepartum),16919,14758,52.29,3.49,off-ladder,Obstetric pathway,,,,,N,Y,N,off-ladder,,N,obstetric pathway - outside ICS Adult scope
Psychiatry,16873,9552,96.63,14.79,off-ladder,Psychiatric,,,,,N,Y,N,off-ladder,,N,acuity axis orthogonal to organ-support acuity; outside ICS scope
Obstetrics Postpartum,8086,7476,50.68,3.78,off-ladder,Obstetric pathway,,,,,N,Y,N,off-ladder,,N,obstetric pathway - outside ICS Adult scope
Obstetrics Antepartum,3009,2298,43.66,6.11,off-ladder,Obstetric pathway,,,,,N,Y,N,off-ladder,,N,obstetric pathway - outside ICS Adult scope
Nursery,1972,1700,6.37,37.98,off-ladder,Neonatal,,,,,N,Y,N,off-ladder,,N,neonatal - outside ICS Adult scope
Unknown,158,136,18.93,27.22,off-ladder,Missing,,,,,N,N,N,off-ladder,,N,location not recorded
Special Care Nursery (SCN),3,1,98.79,33.33,off-ladder,Neonatal,,,,,N,Y,N,off-ladder,,N,neonatal - outside ICS Adult scope
